transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,Profit
31,88,2810,9/5/2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,10/10/2002,817.36
32,1,3214,2/18/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,11/14/2016,448.68
33,25,1272,3/20/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2/4/2016,709.34
34,99,2003,2/28/2017,TRUE,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,10/1/2006,189.28
35,0,2171,8/20/2017,FALSE,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,10/22/2005,167.21
36,92,3356,7/7/2017,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,9/10/2003,155.65
37,14,1040,1/9/2017,FALSE,Approved,Solex,Standard,high,large,1842.92,1105.75,10/24/1995,737.17
38,2,2916,12/6/2017,FALSE,Approved,Solex,Standard,medium,medium,71.49,53.62,11/7/1991,17.87
39,12,427,9/12/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,12/7/2005,1069.55
40,0,2448,11/28/2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,10/22/2005,167.21
41,44,2570,5/8/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2/16/2003,1660.88
42,79,3398,5/14/2017,FALSE,Approved,Solex,Touring,medium,large,2083.94,675.03,9/16/2013,1408.91
43,76,488,3/17/2017,FALSE,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,10/10/2014,128.46
44,46,165,12/22/2017,FALSE,Approved,Solex,Standard,low,medium,1289.85,74.51,2/16/2003,1215.34
45,55,2787,6/7/2017,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,6/17/2015,1295.43
46,66,3053,6/20/2017,FALSE,Approved,Solex,Standard,medium,medium,1163.89,589.27,7/9/2016,574.62
47,35,475,5/7/2017,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,7/12/1994,903.11
48,81,1305,6/10/2017,TRUE,Approved,Solex,Standard,medium,medium,1151.96,649.49,4/10/2012,502.47
49,86,1251,6/17/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,8/7/2004,110.56
50,32,3103,5/10/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,3/22/2002,431.33
51,77,3108,3/24/2017,FALSE,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,1/10/2011,445.21
52,96,857,11/27/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,12/11/2007,641.64
53,6,3455,12/21/2017,TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,11/7/1991,91.15
54,27,2549,2/9/2017,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,7/12/1994,110.81
55,0,3140,9/18/2017,FALSE,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,5/10/2005,72.6
56,47,3406,11/14/2017,FALSE,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,2/9/1997,189.28
57,94,2294,8/30/2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,6/9/2013,641.64
58,91,1031,11/14/2017,FALSE,Approved,Solex,Standard,medium,medium,100.35,75.26,7/26/1999,25.09
59,93,993,2/15/2017,TRUE,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,2/2/2006,583.27
60,60,3473,12/18/2017,FALSE,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,7/28/2014,217.51
61,0,1839,2/24/2017,FALSE,Approved,OHM Cycles,Road,high,large,12.01,7.21,10/2/1993,4.8
62,33,1824,12/18/2017,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,10/11/1992,144.26
63,35,368,12/17/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,11/14/2016,448.68
64,0,2000,7/8/2017,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,11/10/2006,110.81
65,28,825,5/16/2017,TRUE,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,11/22/2016,133.78
66,86,3315,2/23/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,7/26/1999,110.56
67,2,75,7/3/2017,TRUE,Approved,Solex,Standard,medium,medium,71.49,53.62,12/2/2012,17.87
68,4,1498,9/30/2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,9/28/2004,451.65
69,38,1612,10/21/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,9/15/2012,1702.55
70,27,2192,5/6/2017,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,6/23/1999,110.81
71,54,419,1/3/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,4/12/2009,1279.4
72,77,3307,5/9/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,5/9/2011,1660.88
73,22,2430,7/23/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,7/15/1993,15.08
74,56,1506,1/21/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,10/4/1997,45.96
75,58,1346,6/20/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,10/18/2015,771.12
76,22,927,3/10/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,11/10/1991,15.08
77,50,763,6/2/2017,FALSE,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2/16/2003,43.97
78,80,2397,11/7/2017,FALSE,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,12/16/1998,139.23
79,87,102,9/12/2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1179,707.4,8/25/1997,471.6
80,15,2884,12/16/2017,FALSE,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,12/7/2005,209.84
81,84,759,10/7/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,10/2/1992,198.22
82,21,773,4/27/2017,TRUE,Approved,Solex,Standard,medium,large,1071.23,380.74,5/7/2011,690.49
83,0,3398,4/1/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,1/5/2003,110.56
84,33,3297,11/2/2017,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,10/11/1992,144.26
85,84,2434,2/13/2017,TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,12/18/2004,75.48
86,1,1861,7/19/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,9/28/2004,448.68
87,27,1233,5/23/2017,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,8/5/1991,110.81
88,31,1390,8/6/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,4/20/1993,547.28
89,0,2682,4/4/2017,TRUE,Approved,OHM Cycles,Road,high,large,12.01,7.21,5/5/2010,4.8
90,62,439,8/15/2017,TRUE,Approved,Solex,Standard,medium,medium,478.16,298.72,6/23/1993,179.44
91,17,1579,4/15/2017,TRUE,Approved,Solex,Standard,high,medium,1024.66,614.8,4/5/1996,409.86
92,73,2984,7/25/2017,TRUE,Approved,Solex,Standard,medium,medium,1945.43,333.18,5/22/2000,1612.25
93,33,3470,11/28/2017,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,12/4/1999,144.26
94,86,1,12/23/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,5/10/2005,110.56
95,45,757,2/26/2017,FALSE,Approved,Solex,Standard,medium,medium,441.49,84.99,4/12/1993,356.5
96,1,1778,2/21/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,4/16/2011,448.68
97,80,211,5/31/2017,TRUE,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,12/18/2004,139.23
98,49,333,6/23/2017,,Approved,Trek Bicycles,Road,medium,medium,533.51,$400.13 ,37823,
99,95,32,3/26/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,9/10/2003,41.13
100,0,119,7/31/2017,FALSE,Approved,Solex,Standard,medium,medium,478.16,298.72,12/17/1998,179.44
101,18,2347,7/27/2017,FALSE,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,8/10/2015,459.46
102,4,2353,4/14/2017,FALSE,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,4/16/2011,451.65
103,33,788,11/12/2017,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,10/11/1992,144.26
104,78,1468,9/12/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,7/25/2004,1055.82
105,89,821,10/26/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,6/9/2013,1305.25
106,70,2489,2/15/2017,FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,4/11/2015,198.29
107,79,2710,12/22/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,9/9/2003,737.57
108,26,947,10/11/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,5/26/1993,1230.3
109,39,1335,3/27/2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,10/1/2006,1230.27
110,36,1076,11/4/2017,FALSE,Approved,Solex,Standard,low,medium,945.04,507.58,12/19/1995,437.46
111,0,3320,6/11/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,6/17/2015,14.23
112,84,779,10/9/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,10/2/1992,198.22
113,98,3296,6/7/2017,TRUE,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,5/6/1991,143.36
114,75,455,10/24/2017,TRUE,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,9/9/2003,1010.02
115,76,1779,5/1/2017,FALSE,Approved,WeareA2B,Standard,low,medium,642.31,513.85,5/10/2005,128.46
116,72,2703,11/21/2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,1/10/2011,90.1
117,42,806,3/24/2017,FALSE,Approved,OHM Cycles,Road,medium,small,1810,1610.9,4/12/1993,199.1
118,20,22,3/21/2017,FALSE,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,5/5/2010,195.34
119,64,1591,2/20/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,10/22/2005,872.89
120,0,678,6/16/2017,FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,4/11/2015,198.29
121,25,50,12/4/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,10/11/1992,709.34
122,24,1038,12/1/2017,TRUE,Approved,Solex,Road,medium,large,1777.8,820.78,5/26/1993,957.02
123,31,1453,3/5/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,8/2/2015,547.28
124,98,1339,3/21/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,2/9/1997,693.76
125,22,3382,1/3/2017,TRUE,Approved,Solex,Standard,medium,medium,575.27,431.45,3/12/2013,143.82
126,53,773,4/1/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,7/21/2003,693.76
127,84,2503,3/16/2017,TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,5/10/2005,75.48
128,25,1057,2/26/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2/4/2016,709.34
129,50,1397,6/5/2017,FALSE,Approved,WeareA2B,Standard,medium,small,175.89,131.92,10/18/2015,43.97
130,44,2134,9/4/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,5/9/2011,1660.88
131,96,2403,1/18/2017,TRUE,Approved,WeareA2B,Road,low,small,1172.78,1043.77,10/10/2002,129.01
132,12,1937,9/28/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,8/17/2004,1069.55
133,93,1282,9/2/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,10/10/2002,834.94
134,78,2183,5/9/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,7/10/1991,1055.82
135,84,1788,10/17/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,5/22/2006,198.22
136,65,1170,4/25/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,4/11/2015,1028.76
137,0,431,9/23/2017,FALSE,Approved,,,,,1942.61,,,
138,29,1940,8/2/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,11/3/2000,834.94
139,32,2073,3/25/2017,FALSE,Cancelled,Giant Bicycles,Standard,high,medium,1179,707.4,11/3/2000,471.6
140,11,462,1/1/2017,FALSE,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,7/9/2016,509.97
141,10,2728,12/22/2017,FALSE,Approved,Solex,Standard,medium,medium,1945.43,333.18,8/31/2002,1612.25
142,46,2053,12/25/2017,FALSE,Approved,Solex,Standard,low,medium,1289.85,74.51,6/4/2012,1215.34
143,60,2135,1/26/2017,TRUE,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,5/18/2012,217.51
144,92,1217,12/20/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,1/21/1991,1630.25
145,7,2992,6/7/2017,TRUE,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,12/7/2005,745.94
146,41,3261,4/6/2017,TRUE,Approved,Solex,Road,medium,medium,416.98,312.74,5/10/1997,104.24
147,67,2748,4/25/2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,10/22/2005,167.21
148,14,3262,1/13/2017,FALSE,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,8/5/2003,152.55
149,89,788,3/21/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,4/20/1993,1305.25
150,9,3067,11/21/2017,TRUE,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,9/9/1994,75.14
151,31,701,11/11/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,3/18/2003,57.73
152,92,648,10/16/2017,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,11/3/2000,155.65
153,37,3286,8/19/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,7/20/1999,1544.61
154,3,3383,4/6/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,8/29/2011,1702.55
155,56,982,11/4/2017,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,2/4/2016,75.75
156,14,676,8/22/2017,TRUE,Approved,Solex,Standard,high,large,1842.92,1105.75,9/9/2003,737.17
157,6,385,9/15/2017,TRUE,Approved,Solex,Standard,high,medium,748.17,448.9,4/11/2015,299.27
158,50,1229,3/1/2017,TRUE,Approved,WeareA2B,Standard,medium,small,175.89,131.92,4/12/2009,43.97
159,10,3232,8/16/2017,FALSE,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,3/12/2013,1103.43
160,0,3300,8/27/2017,FALSE,Approved,,,,,1656.86,,,
161,69,2381,7/10/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,4/11/2015,198.22
162,78,371,12/11/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,7/25/2004,1055.82
163,80,2519,5/20/2017,TRUE,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,8/10/2015,139.23
164,17,2264,7/30/2017,FALSE,Approved,Solex,Standard,high,medium,1024.66,614.8,11/9/1996,409.86
165,3,2637,10/25/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,8/9/2005,1702.55
166,78,3262,11/27/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,7/25/2004,1055.82
167,90,3177,4/26/2017,,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41 ,38482,
168,87,2267,2/2/2017,FALSE,Approved,Giant Bicycles,Standard,high,medium,1179,707.4,8/25/1997,471.6
169,97,456,5/2/2017,FALSE,Approved,Solex,Standard,medium,large,202.62,151.96,1/16/2004,50.66
170,6,404,10/16/2017,,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73 ,37838,
171,100,3121,10/22/2017,FALSE,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,5/6/1991,830.24
172,55,2365,4/11/2017,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,1/21/1991,1295.43
173,100,2528,11/16/2017,FALSE,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,5/6/1991,830.24
174,10,3151,12/17/2017,FALSE,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,9/9/1994,1103.43
175,25,3241,12/23/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,11/22/2016,709.34
176,74,1335,3/30/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,9/9/2003,827.16
177,90,2234,4/13/2017,FALSE,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,5/10/2005,72.6
178,56,3226,7/25/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,10/4/1997,45.96
179,62,1365,1/31/2017,FALSE,Approved,Solex,Standard,medium,medium,478.16,298.72,6/23/1993,179.44
180,20,3349,3/18/2017,TRUE,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,5/5/2010,195.34
181,17,1002,2/24/2017,FALSE,Approved,Solex,Standard,high,medium,1024.66,614.8,5/7/2011,409.86
182,16,2282,2/18/2017,FALSE,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,3/12/2013,182.81
183,46,2656,1/7/2017,FALSE,Approved,Solex,Standard,low,medium,1289.85,74.51,6/4/2012,1215.34
184,71,2409,7/5/2017,TRUE,Approved,Solex,Standard,high,large,1842.92,1105.75,10/24/1995,737.17
185,91,1711,11/19/2017,FALSE,Approved,WeareA2B,Standard,low,medium,642.31,513.85,7/25/2004,128.46
186,17,2582,11/8/2017,TRUE,Approved,Solex,Standard,high,medium,1024.66,614.8,11/9/1996,409.86
187,1,1005,7/24/2017,TRUE,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,9/9/2003,1010.02
188,3,1597,1/15/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,9/15/2012,1702.55
189,56,2713,1/12/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,6/23/1993,45.96
190,37,1435,11/27/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,5/9/2011,1544.61
191,34,1477,6/30/2017,TRUE,Approved,Norco Bicycles,Road,high,large,774.53,464.72,3/19/2008,309.81
192,0,1614,7/15/2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,11/10/2006,57.73
193,12,1254,6/22/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,3/8/2009,1069.55
194,25,1423,5/2/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,1/10/2011,709.34
195,81,276,12/27/2017,FALSE,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,7/10/1991,64.51
196,19,1315,12/21/2017,TRUE,Approved,OHM Cycles,Road,high,large,12.01,7.21,6/23/1999,4.8
197,45,591,5/23/2017,TRUE,Approved,Solex,Standard,medium,medium,441.49,84.99,4/12/1993,356.5
198,74,1017,2/2/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,7/28/2014,812.44
199,33,2123,6/8/2017,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,10/11/1992,144.26
200,57,2889,4/15/2017,TRUE,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,6/23/1993,1630.25
201,0,3208,9/5/2017,TRUE,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,6/4/2012,133.38
202,23,2406,2/26/2017,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,11/10/2006,75.75
203,67,2041,7/29/2017,FALSE,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,10/22/2005,167.21
204,81,1598,7/3/2017,TRUE,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,7/10/1991,64.51
205,58,1842,5/27/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,10/18/2015,771.12
206,5,141,5/5/2017,FALSE,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,8/9/2005,451.65
207,94,1321,9/9/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,6/9/2013,641.64
208,51,183,5/21/2017,FALSE,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,4/10/2012,802.26
209,59,2591,9/22/2017,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,1/5/2003,155.65
210,63,3356,4/12/2017,TRUE,Approved,Solex,Standard,medium,medium,1483.2,99.59,10/2/1992,1383.61
211,40,766,5/7/2017,TRUE,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,2/2/2006,583.27
212,80,1596,1/13/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,10/22/2005,872.89
213,82,520,12/14/2017,FALSE,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,8/10/2015,459.46
214,46,868,3/22/2017,TRUE,Approved,Solex,Standard,low,medium,1289.85,74.51,4/10/2012,1215.34
215,78,2999,9/30/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,8/10/2015,1055.82
216,72,352,11/29/2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,12/6/2016,90.1
217,75,1140,6/9/2017,FALSE,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,7/25/2004,1010.02
218,40,621,4/21/2017,FALSE,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,7/21/2003,1295.43
219,2,3307,11/13/2017,FALSE,Approved,Giant Bicycles,Road,low,small,590.26,525.33,11/5/2010,64.93
220,10,1502,4/9/2017,TRUE,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,3/12/2013,1103.43
221,35,936,5/8/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,11/14/2016,448.68
222,8,939,7/8/2017,TRUE,Approved,Solex,Road,medium,small,1703.52,1516.13,4/16/2011,187.39
223,2,2698,11/30/2017,FALSE,Approved,Giant Bicycles,Road,low,small,590.26,525.33,11/5/2010,64.93
224,69,579,4/25/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,10/2/1992,198.22
225,54,2036,3/30/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,4/12/2009,1279.4
226,8,3077,3/10/2017,FALSE,Approved,Solex,Road,medium,small,1703.52,1516.13,4/20/1993,187.39
227,86,369,3/16/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,5/10/2005,110.56
228,13,821,4/4/2017,TRUE,Approved,Solex,Standard,medium,medium,1163.89,589.27,3/12/2013,574.62
229,19,2687,3/13/2017,TRUE,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,8/29/2011,114.93
230,86,681,12/23/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,6/9/2013,110.56
231,46,37,8/12/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,7/20/1999,1544.61
232,30,3002,8/4/2017,FALSE,Approved,Solex,Standard,high,medium,748.17,448.9,7/20/1999,299.27
233,92,396,9/1/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,1/21/1991,1630.25
234,71,550,9/1/2017,TRUE,Approved,Solex,Standard,high,large,1842.92,1105.75,10/24/1995,737.17
